"","threshold","n","proportion","n_songs"
"1",0,8365,0.433329879817654,20378
"2",5,8279,0.44079437759557,19869
"3",10,8198,0.448738299852209,19413
"4",15,8073,0.458198535671718,18866
"5",20,7889,0.470171047142261,18156
"6",25,7640,0.486221599949087,17182
"7",30,7297,0.507652706275219,15984
"8",35,6732,0.530956700055209,14517
"9",40,6088,0.559764619345348,12902
"10",45,5262,0.591634809984259,11123
"11",50,4242,0.621720650740144,9193
"12",55,3248,0.657223796033994,7221
"13",60,2298,0.688642493257417,5550
"14",65,1477,0.72119140625,3924
"15",70,852,0.764125560538117,2567
"16",75,441,0.801818181818182,1592
"17",80,210,0.88235294117647,807
"18",85,77,0.885057471264368,385
"19",90,28,1,52
"20",95,4,1,4
"21",100,1,1,0
